logFC	AveExpr	t	P.Value	adj.P.Val	B
Hyou1	0.732259313468798	7.02098494805985	44.764722337588	2.44359226571914e-43	3.22289275248936e-39	88.8286995987733
Pdia4	1.06795502370753	5.27589276069137	44.3800008743837	3.79230776312215e-43	3.22289275248936e-39	88.2935942126165
Hspa5	1.32959159918087	8.11387926267582	43.1744852288496	1.53935333189941e-42	8.72146286076476e-39	87.011691881603
Fmnl1	0.889813199622323	7.42536575553367	41.5018895813729	1.14468938787671e-41	3.94146328059569e-38	85.0094706609644
Zfp180	0.569243919085317	6.22716583008201	41.4914017196255	1.15945851638398e-41	3.94146328059569e-38	84.9825446874776
Pdp1	0.845342848599834	7.50933190687569	40.8524047492966	2.54681009916743e-41	6.18401875079269e-38	84.2129871974104
Manf	0.993451944100694	5.26185837117521	40.4325938427605	4.29796460253568e-41	9.13156304366237e-38	83.6343370588066
Sdf2l1	1.66207692222632	3.27363636578116	40.8642123670665	2.50978349505415e-41	6.18401875079269e-38	83.3398682775235
Tmem151b	0.597289129744292	7.69048854047774	40.1323409813102	6.26858551515152e-41	1.18385720001145e-37	83.3151488088544
Calr	0.83237470014326	8.57656630212055	39.9932276295893	7.47311093969327e-41	1.23060047216032e-37	83.1398152043936
Pdia6	0.947092359330871	6.67351342308337	39.9429730801219	7.96411436945551e-41	1.23060047216032e-37	83.0718975191081
Galnt9	0.909684545291067	6.47336059168469	39.3631767328322	1.6686247755032e-40	2.34994599676603e-37	82.3333873922581
Sgsm1	1.08910351785227	7.36125790440494	39.3053674587502	1.79733470365114e-40	2.34994599676603e-37	82.2633209083463
Cx3cl1	0.540506301040448	9.6800220941401	38.8223394155958	3.35747921801216e-40	4.07621959061091e-37	81.6335748344686
Nectin1	0.768809449835267	5.87094115264699	38.6675378330834	4.10823271011025e-40	4.52778048676455e-37	81.4282666204404
Dnajb5	0.959560226817678	7.54917095983127	38.6393780246152	4.26219260976836e-40	4.52778048676455e-37	81.4011038077603
Mkks	0.932625547704728	3.65340975595948	38.3775485170876	6.00785178307145e-40	6.00679157393326e-37	80.6683997237043
Trim9	0.478439190525263	8.64285800916704	37.9948047974793	9.96253800588368e-40	9.4074032492225e-37	80.5487136927842
P4ha1	0.986645865823636	5.68910009573689	37.9050983435606	1.12240432433026e-39	1.00407927898113e-36	80.4234205698241
Lman2	0.440449372593063	6.29425443431451	37.5200087444505	1.8781495906829e-39	1.59614542964186e-36	79.9194880377306
Hexim1	0.504912498817766	5.64724034888186	37.1431928777554	3.12307491253924e-39	2.52775734706807e-36	79.4063168004845
Hspa8	0.623886357742393	9.69947982320228	37.0492282114456	3.54796482112554e-39	2.62194600281177e-36	79.2703736214768
Dok3	1.44940252297921	3.74742107143378	37.0850077343796	3.37963746244219e-39	2.61107717950591e-36	78.9986877437448
Egr3	1.51709792144775	7.71481948232802	36.7403851411957	5.40730329289329e-39	3.67631736277229e-36	78.8601163251336
Pfkfb3	0.867363884986432	5.56313008951613	36.6785105183799	5.88593234354952e-39	3.84781507858889e-36	78.7725485369663
Tnfrsf25	1.92842754747739	3.52386634847863	36.8741222412568	4.50362132562103e-39	3.18950215298253e-36	78.550179860562
Camk1g	0.953832177597719	5.26590994504409	36.405027799038	8.57659060098528e-39	5.20629680160524e-36	78.3884221672041
Armcx5	-0.700217585272338	4.69728750422534	-36.3127397840063	9.74417354823552e-39	5.71109371721928e-36	78.2253506345512
Adam8	1.07949828344342	2.90594784489306	36.44747546225	8.08841225305348e-39	5.09180529870926e-36	77.7035337015024
Xbp1	0.7269958547842	6.35342085896187	35.8178932009541	1.94178840770303e-38	1.10015258552428e-35	77.5871115740262
