logFC	AveExpr	t	P.Value	adj.P.Val	B
Hsph1	2.3006179921187	5.99144967024245	37.1675140512849	5.83261854481978e-38	7.74221785639377e-34	76.4405108292541
Cirbp	-1.93792552671683	2.97570169659637	-35.922610301106	2.99282877499481e-37	1.98634045796405e-33	74.3577883434938
Ahsa1	0.926078804835776	6.26673528028171	35.4677061301653	5.51208630264784e-37	2.43891445271158e-33	74.2412944728169
Ahsa2	0.954002035307498	5.28939208361026	33.3870098785838	9.90789384409509e-36	3.28793457216295e-32	71.3717077046793
Hspa8	1.49436587374677	9.19808651908659	33.0011668124298	1.72390775446959e-35	4.57663030656586e-32	70.8155567752321
Stip1	1.11518926370246	6.46759205342004	32.6327287292764	2.94177056932805e-35	6.50817708954343e-32	70.3022699380997
Hsp90aa1	1.78201117746152	6.99725560182966	32.0971029065183	6.46133369981467e-35	1.22525347901914e-31	69.519445276653
Chordc1	1.21156535852817	5.55551916569491	31.6507783067188	1.25617551863402e-34	2.0843092292935e-31	68.8563403332439
Hsp90ab1	1.04068375730287	9.84226766261977	31.5331128080654	1.49893889027354e-34	2.21076831438789e-31	68.6681320227788
Hnrnpc	0.653767210240492	6.62436732155469	30.302993922711	9.85996493576336e-34	1.1719705837277e-30	66.8109568451114
Mir22hg	-1.1690880608725	4.1712123153038	-30.2569182667018	1.05948824805879e-33	1.1719705837277e-30	66.7036624139255
Herc3	-2.08092928247802	2.02158602412217	-30.5003994488036	7.25429735827848e-34	9.62935431337885e-31	66.4162963155748
Parp10	-0.865815991912658	4.00567375982192	-29.0460942556307	7.26470629756466e-33	7.41782395337487e-30	64.7931571921879
Tra2a	1.11271964839667	3.70455645989283	28.7843859818883	1.11178599782141e-32	1.05413195250581e-29	64.3509971547583
Mkks	0.870255478726935	3.82015302450668	28.7303399653291	1.21442710430976e-32	1.07468702550718e-29	64.2751274099084
Ube2f	0.479748054518959	5.39515695724628	28.6045250842148	1.49243937085427e-32	1.23816501304497e-29	64.1020696947523
Fus	-1.27359304841221	5.68155279765286	-28.467587722636	1.86953851923912e-32	1.45977966496353e-29	63.8773738266433
Slc5a3	1.66987257991738	3.08764946359107	28.3666482504695	2.20861620286621e-32	1.62873174871367e-29	63.5841510474366
Hal	-0.769629946171525	8.75879764867191	-28.0261997336434	3.89006044854493e-32	2.68487316071463e-29	63.1464187880859
Kyat1	-0.844488007040545	6.29951446753606	-27.9837024794192	4.17665400312039e-32	2.68487316071463e-29	63.0745941986472
Carmil1	-1.66751100372184	3.81840075145296	-27.9736443990898	4.24757694553317e-32	2.68487316071463e-29	63.0231673918112
Hspb1	2.50231965063399	3.28380387764538	27.5710483389034	8.37087630222853e-32	5.05068236526279e-29	62.2693467554748
Serpinh1	1.34467685884604	3.70264110445097	26.7516926481298	3.42182277184329e-31	1.97483806406295e-28	60.9578775614356
Wdr6	-1.22516730661569	3.86012194045961	-26.4492426463807	5.80923850210873e-31	3.21299299487464e-28	60.4397926036812
Chpf2	-1.08234450172718	3.99739142464934	-26.0336787342095	1.21256176282292e-30	6.43821793588455e-28	59.7130148928798
Srebf1	-1.62540479816476	8.03432915905872	-25.9357228577347	1.44437335530225e-30	7.37408150703159e-28	59.5347744995746
Gramd1c	-1.4387877630124	4.39688588981048	-25.9135238342467	1.50290582800879e-30	7.38873035592171e-28	59.5020425537462
Tmem33	0.712506884293135	6.79957983221765	25.8489761340645	1.68720820341013e-30	7.99857203288073e-28	59.3753330923512
Slc2a9	-0.707431584693979	5.38750806889642	-25.5280051904563	3.01021627553799e-30	1.3778486497066e-27	58.800076209426
Tedc2	1.1815978686473	5.73837659242649	25.1885721195484	5.59071710128939e-30	2.39390899362953e-27	58.1811679274553
Luc7l	0.613054360344522	4.51398086376439	25.1399262956972	6.1130097186485e-30	2.53575284391688e-27	58.1003424924829
Hdac6	-0.62699316014936	3.83620785108373	-25.0973058286865	6.61136698684551e-30	2.65937228434507e-27	58.0242269655702
Syt11	1.35525402067644	1.42993665509611	25.3159404011203	4.4280695797755e-30	1.95927318673133e-27	57.9435672351616
Tmem144	-0.765213658127608	2.87960351253627	-24.9288364409522	9.02225524011929e-30	3.52239458992187e-27	57.6685321493135
