sampleShort	sample	treatment	strain	color	sample_GATK	Sample_Name
05nsd	X05nsd	NSD	BXD005	blue	BXD005	GSM3151467
05sd	X05sd	SD	BXD005	darkred	BXD005	GSM3151468
100nsd	X100nsd	NSD	BXD100	blue	BXD100	GSM3151469
100sd	X100sd	SD	BXD100	darkred	BXD100	GSM3151470
101nsd	X101nsd	NSD	BXD101	blue	BXD101	GSM3151471
101sd	X101sd	SD	BXD101	darkred	BXD101	GSM3151472
103nsd	X103nsd	NSD	BXD103	blue	BXD103	GSM3151473
103sd	X103sd	SD	BXD103	darkred	BXD103	GSM3151474
29nsd	X29nsd	NSD	BXD029	blue	BXD029	GSM3151475
29sd	X29sd	SD	BXD029	darkred	BXD029	GSM3151476
29tnsd	X29tnsd	NSD	BXD029t	blue	BXD029t	GSM3151477
29tsd	X29tsd	SD	BXD029t	darkred	BXD029t	GSM3151478
32nsd	X32nsd	NSD	BXD032	blue	BXD032	GSM3151479
32sd	X32sd	SD	BXD032	darkred	BXD032	GSM3151480
43nsd	X43nsd	NSD	BXD043	blue	BXD043	GSM3151481
43sd	X43sd	SD	BXD043	darkred	BXD043	GSM3151482
44nsd	X44nsd	NSD	BXD044	blue	BXD044	GSM3151483
44sd	X44sd	SD	BXD044	darkred	BXD044	GSM3151484
45nsd	X45nsd	NSD	BXD045	blue	BXD045	GSM3151485
45sd	X45sd	SD	BXD045	darkred	BXD045	GSM3151486
48nsd	X48nsd	NSD	BXD048	blue	BXD048	GSM3151487
48sd	X48sd	SD	BXD048	darkred	BXD048	GSM3151488
49nsd	X49nsd	NSD	BXD049	blue	BXD049	GSM3151489
49sd	X49sd	SD	BXD049	darkred	BXD049	GSM3151490
50nsd	X50nsd	NSD	BXD050	blue	BXD050	GSM3151491
50sd	X50sd	SD	BXD050	darkred	BXD050	GSM3151492
51nsd	X51nsd	NSD	BXD051	blue	BXD051	GSM3151493
51sd	X51sd	SD	BXD051	darkred	BXD051	GSM3151494
55nsd	X55nsd	NSD	BXD055	blue	BXD055	GSM3151495
55sd	X55sd	SD	BXD055	darkred	BXD055	GSM3151496
56nsd	X56nsd	NSD	BXD056	blue	BXD056	GSM3151497
56sd	X56sd	SD	BXD056	darkred	BXD056	GSM3151498
61nsd	X61nsd	NSD	BXD061	blue	BXD061	GSM3151499
61sd	X61sd	SD	BXD061	darkred	BXD061	GSM3151500
64nsd	X64nsd	NSD	BXD064	blue	BXD064	GSM3151501
64sd	X64sd	SD	BXD064	darkred	BXD064	GSM3151502
65nsd	X65nsd	NSD	BXD065	blue	BXD065	GSM3151503
65sd	X65sd	SD	BXD065	darkred	BXD065	GSM3151504
