logFC	AveExpr	t	P.Value	adj.P.Val	B
MGP_DBA2J_G0034519	0.733481004251443	7.0843717274313	43.8772010374393	1.9847548910299e-41	1.60100253284927e-37	84.4817206171981
MGP_DBA2J_G0030502	1.07278537030997	5.3114902546791	43.923544487054	1.88568351924598e-41	1.60100253284927e-37	84.4263085218892
MGP_DBA2J_G0025485	1.33125293913521	8.17412194080688	42.3944567679812	1.05012793250847e-40	5.64723797838638e-37	82.8374321847305
MGP_DBA2J_G0031638	0.570683173198391	6.25716637835148	41.0626970075953	4.91853073323802e-40	1.7889498810877e-36	81.2806808527808
MGP_DBA2J_G0019090	0.891467277453377	7.48211644029901	40.8466228658015	6.34702605149025e-40	1.7889498810877e-36	81.0420635546153
MGP_DBA2J_G0027873	0.846962960876351	7.56942749170902	40.1721090231261	1.41852527632492e-39	3.26929546899285e-36	80.2411913480627
MGP_DBA2J_G0022402	1.66403343375931	3.32926240478487	40.8068095870675	6.65325685645955e-40	1.7889498810877e-36	80.0559438803
MGP_DBA2J_G0033688	0.834059151081144	8.63456383519572	39.6698257616998	2.60331896477717e-39	5.24991810734376e-36	79.6369063060408
MGP_DBA2J_G0023618	0.599530851798487	7.74334156928525	39.4204055990456	3.52888376266026e-39	5.69314817429979e-36	79.3327264611577
MGP_DBA2J_G0035057	0.995626497461523	5.3081979825105	39.4605067619468	3.36003769286167e-39	5.69314817429979e-36	79.3271019864085
MGP_DBA2J_G0029702	0.911842871729391	6.53941544404375	39.2922594243792	4.12874405435901e-39	6.05536616627036e-36	79.1700463623819
MGP_DBA2J_G0019449	0.948906777257578	6.73337619354546	38.9003062596652	6.69361949951596e-39	8.99901361547425e-36	78.6906572476521
MGP_DBA2J_G0029730	1.09048962115157	7.41958213216458	38.5477812821346	1.03775652598789e-38	1.28785584875098e-35	78.2557091025579
MGP_DBA2J_G0034500	0.769454914591208	5.89994074861838	38.0483278680888	1.94406915571805e-38	2.22082278238596e-35	77.6188310319966
MGP_DBA2J_G0028007	0.96101875466561	7.60859835638861	38.0006871201231	2.06485723273969e-38	2.22082278238596e-35	77.5686678476918
MGP_DBA2J_G0033783	0.542138610881815	9.73921461158722	37.7237961540226	2.93528243999103e-38	2.92213590176236e-35	77.2096117820002
MGP_DBA2J_G0019088	0.50759093758644	5.68556417703846	37.6862687286574	3.07917376371165e-38	2.92213590176236e-35	77.1572660714835
MGP_DBA2J_G0019638	0.457074033652915	8.4716477498237	37.5916799457376	3.47462057057684e-38	3.11422520361757e-35	77.0462419598445
MGP_DBA2J_G0017093	0.987987459019505	5.74928456707617	37.3133477080695	4.96626806237281e-38	4.21688435001371e-35	76.6816822832631
