logFC	AveExpr	t	P.Value	adj.P.Val	B
MGP_DBA2J_G0030223	2.30092936261466	6.11869784103902	36.3544010827701	1.52880209833102e-36	1.95411484208671e-32	73.2618289717539
MGP_DBA2J_G0019812	0.927275463847967	6.39221365629744	35.2997318506106	5.96087785820276e-36	2.53973135945159e-32	71.9239141455962
MGP_DBA2J_G0017327	-1.937969063016	3.1030844072358	-35.5712312155735	4.18436723636307e-36	2.53973135945159e-32	71.921929619988
MGP_DBA2J_G0017926	0.957404520867617	5.39985354702919	32.6054205106124	2.3045685445102e-34	7.36424878398233e-31	68.2878813147952
MGP_DBA2J_G0024616	1.11538845693354	6.59514830511388	32.1845720901249	4.1815611752959e-34	1.06897429885264e-30	67.6987745755207
MGP_DBA2J_G0030635	-2.08165319328136	2.1461549622514	-31.7499200693394	7.7954050712793e-34	1.6606811270182e-30	66.4726775431713
MGP_DBA2J_G0019946	1.78429789910352	7.80051317701738	30.7100069526514	3.57230923091701e-33	6.29847267552834e-30	65.5598527527366
MGP_DBA2J_G0023621	1.04097450061104	9.97179118695141	30.5647908095532	4.43485010794516e-33	6.29847267552834e-30	65.3414699158501
MGP_DBA2J_G0022886	1.67130592176773	3.21440112038021	30.6242105287139	4.05878348324726e-33	6.29847267552834e-30	65.3027321243113
MGP_DBA2J_G0034185	1.23330148317899	5.46267620643106	30.477474725511	5.05303120808916e-33	6.45878449017957e-30	65.2135403076244
MGP_DBA2J_G0015017	-1.16884267540049	4.2985370963334	-30.0057467747874	1.02870278503004e-32	1.19535263620491e-29	64.4920238911973
MGP_DBA2J_G0021809	-0.865674419296835	4.13299386494542	-29.45382677786	2.39393537659986e-32	2.54994016530829e-29	63.6502258942848
MGP_DBA2J_G0032890	-1.27345107318316	5.80829785744877	-28.3049994244471	1.45493371731615e-31	1.43053559805654e-28	61.8574182151068
MGP_DBA2J_G0030540	1.11449052929712	3.83056683287149	28.0585940364462	2.16086809951865e-31	1.97287257486053e-28	61.4550061826151
MGP_DBA2J_G0032367	1.34857842130546	3.82706347197316	27.9295386447905	2.66156026359534e-31	2.26800421928505e-28	61.2460172554067
MGP_DBA2J_G0025403	-0.844107029356977	6.42646433872489	-27.7083282783695	3.81188368112554e-31	3.04247737557716e-28	60.8906131973596
MGP_DBA2J_G0016148	0.47942327100021	5.5225773354857	27.6716996439489	4.04648062782129e-31	3.04247737557716e-28	60.8336308289035
MGP_DBA2J_G0017491	-0.765886775318327	8.8636326696686	-27.5403775979471	5.01557584840405e-31	3.45889786960244e-28	60.6211440130143
MGP_DBA2J_G0020207	-1.66846517106966	3.94550822755866	-27.5252424734975	5.1415318042909e-31	3.45889786960244e-28	60.5929405599144
MGP_DBA2J_G0021119	0.643476253174216	6.14737107849026	27.1266100390517	9.92429603083669e-31	6.34261759330773e-28	59.9321636462367
MGP_DBA2J_G0029166	-1.08274039088266	4.12423774774745	-26.6254986386101	2.2962360912044e-30	1.39764236751308e-27	59.1095600911601
MGP_DBA2J_G0035119	-1.22448911134227	3.98759864307893	-26.406562820221	3.32718642759951e-30	1.93309531443531e-27	58.7390301152063
MGP_DBA2J_G0010015	1.48399027784569	4.42795741330869	25.9231339156589	7.61876443595706e-30	4.05762695918346e-27	57.9116713215564
MGP_DBA2J_G0018249	-1.62542946065908	8.16427229842217	-25.9266111375889	7.57313526094252e-30	4.05762695918346e-27	57.8990806323973
MGP_DBA2J_G0022666	-1.44188247277164	4.45098149259849	-25.8581466714637	8.52507417235011e-30	4.35869992283916e-27	57.7993595557106
MGP_DBA2J_G0035344	-0.627027194071243	3.96366010634387	-25.3242221495097	2.16682106063023e-29	1.06524256911444e-26	56.870895335554
MGP_DBA2J_G0029326	-0.707733943016819	5.51472576754577	-25.2960840893949	2.27707705980321e-29	1.07798514734832e-26	56.7952178409488
MGP_DBA2J_G0029408	0.712650156810387	6.92699614559933	25.1467997752346	2.96539004797373e-29	1.35370055690001e-26	56.5234449875827
MGP_DBA2J_G0023123	1.18197087602688	5.86478976156247	24.8705289342421	4.85192350933373e-29	2.13852711366564e-26	56.0373484931821
MGP_DBA2J_G0020303	1.00491736288005	3.50270510745971	24.7828988309214	5.67761465767892e-29	2.41904235181506e-26	55.9101206026537
MGP_DBA2J_G0023226	0.612432558367277	4.6383942482113	24.7222731045144	6.33149814805681e-29	2.60334814658288e-26	55.7856401651543
MGP_DBA2J_G0015767	0.90343019924697	4.36061350232394	24.7061881240708	6.51753565096638e-29	2.60334814658288e-26	55.764254712826
